Sentence_Preprocessed,Emotion
feel probably move meat story get distracted side dish happened good music,anger
get nothing really want feel like someone like stubborn sister,anger
reached feel strange sensation felt something,fear
ill smoke cigarette im feeling little nervous,fear
feeling increasingly hopeful,joy
feel like idiot b get illogically mad people going bed early sorry anger family,anger
im feeling rather impatient rainbow bursting vein,anger
id use level would make job feel worthwhile season basically half long,joy
male stupid first woman cry baby get feel really cool putting stupid men place,joy
feel disgusted c kj rel bookmark class permalink nov middot,anger
guess trick need go strong get want feel bashful,fear
feel frantic,fear
feel like total bitchy person today yay,anger
always plant big section lettuce leave open pesky bunny feel rebellious raiding garden,anger
feeling unsure whether continue blog,fear
able shake akward unusual feeling feel irritable space time feel like surged well computer,anger
drunk feel fab,joy
feeling little uncertain waiting hear land lady confirm date receive contract,fear
feel strange coming back work one day holiday,fear
feel lucky opportunity,joy
escorting relative bike,fear
im necessarily sure something education system must change student feel anxiety pressure needing flawless vast knowledge world,joy
needed feel rebellious,anger
didnt tell didnt want feel afraid,fear
feel comfortable staying house feel relentless im asked something tired almost time bored without money,joy
may rich material standard feel rich grateful,joy
im also feeling cranky main character scientist brother observing moon mention zero gravity,anger
feel little le inhibited class tonight,fear
suddenly feeling energetic,joy
bit bouncier usual didnt feel grouchy everything normal,anger
think finally articulate prius shiny happy al gore wearing patagonia alaska way somewhat insidious make driving feel like virtuous act,joy
im feeling irritable sick,anger
came home one day discovered sister borrowed car gotten accident entire front bumper destroyed,anger
feel somewhat alarmed,fear
written feel need point someone somewhere could offended read word context knowing nothing really bad day bother inform,anger
left feeling bothered long time afterwards,anger
feel like could dangerous topic anyone feel passionately piano mind thought worth discussing im going paint piano grew please stop hyperventilating mom,anger
know easy twist thing create explanation im still sure one help feel little le mad,anger
feel dissatisfied,anger
cough alot feel somewhat irritable time,anger
feel like concert much successful previous one,joy
feel strange weird entire struggle one deal kind conflict,fear
got inside warm compared outside temp survivor man skill kicked stripped base layer avoid feeling cold got back outside,anger
im feeling creative best rather student deadline meet,joy
ive feeling little frantic recently summer together flying quickly,fear
mean geez cara raised feel compassion love feeling tortured beaten young age thats mord sith work,anger
sharing information feel important personal safety empowerment parenting living well,joy
try remember quote feel may hitting wall marathon even training run know time find perfect song fuel,joy
feeling little adventurous try see spook pretty lady,joy
randomly talking found feeling cd listened quite eager watch show,joy
met people every corner globe feeling restless finance allow pick spot see people really care adventure homeland,fear
would truly express utter gratitude thankfulness feel sincere gesture grateful,joy
feel scared rather curl like threatened porcupine,fear
feel matter convinced alone life journey mine alone,joy
writing remember feeling assured wasnt dead checking window mom started fighting,joy
left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,joy
feel intimidated like want turn around head back safety yoga class hop tried trusty treadmill,fear
write share feeling family event useful product good food exciting trip kitchen endeavor well occasional musing,joy
feel rebellious,anger
remember totally different feel faithful duke watcher growing,joy
im feeling confused ill keep trudging,fear
got eyebrow waxed day feel glamorous,joy
seriously feel uncomfortable,fear
learnt nothing else last two year best feel way trusting instinct,joy
